"","First","Second","p","weight"
"DIASTOLICBPxANTI_ESTROGENS","DIASTOLICBP","ANTI_ESTROGENS",0.5923,654.833333333333
"DIASTOLICBPxCEREBACC","DIASTOLICBP","CEREBACC",0.6467,1527.16666666667
"DIASTOLICBPxCHF","DIASTOLICBP","CHF",0.3747,2538
"DIASTOLICBPxDVT","DIASTOLICBP","DVT",0.7589,1662.33333333333
"DIASTOLICBPxDIAB","DIASTOLICBP","DIAB",0.6426,824.166666666667
"DIASTOLICBPxMI","DIASTOLICBP","MI",0.078,1957.33333333333
"DIASTOLICBPxPULMEMB","DIASTOLICBP","PULMEMB",0.2534,1128.83333333333
"DIASTOLICBPxSPINCOMP","DIASTOLICBP","SPINCOMP",0.6823,948
"DIASTOLICBPxCOPD","DIASTOLICBP","COPD",0.7085,1561
"DIASTOLICBPxMHBLOOD","DIASTOLICBP","MHBLOOD",0.7102,824.666666666667
"DIASTOLICBPxMHCARD","DIASTOLICBP","MHCARD",0.1857,2466.33333333333
"DIASTOLICBPxMHCONGEN","DIASTOLICBP","MHCONGEN",0.5324,933.5
"DIASTOLICBPxMHEAR","DIASTOLICBP","MHEAR",0.6624,1495
"DIASTOLICBPxMHENDO","DIASTOLICBP","MHENDO",0.5868,1472.33333333333
"DIASTOLICBPxMHGASTRO","DIASTOLICBP","MHGASTRO",0.7083,496.833333333333
"DIASTOLICBPxMHHEPATO","DIASTOLICBP","MHHEPATO",0.7388,1336.33333333333
"DIASTOLICBPxMHIMMUNE","DIASTOLICBP","MHIMMUNE",0.8544,1886.33333333333
"DIASTOLICBPxMHINFECT","DIASTOLICBP","MHINFECT",0.6636,1835
"DIASTOLICBPxMHINJURY","DIASTOLICBP","MHINJURY",0.7283,1440.33333333333
"DIASTOLICBPxMHINVEST","DIASTOLICBP","MHINVEST",0.6846,1458.33333333333
"DIASTOLICBPxMHMETAB","DIASTOLICBP","MHMETAB",0.7158,1552.5
"DIASTOLICBPxMHPSYCH","DIASTOLICBP","MHPSYCH",0.2784,1916.33333333333
"DIASTOLICBPxMHRENAL","DIASTOLICBP","MHRENAL",0.6912,788.666666666667
"DIASTOLICBPxMHRESP","DIASTOLICBP","MHRESP",0.547,735.5
"DIASTOLICBPxMHSKIN","DIASTOLICBP","MHSKIN",0.7234,1197.33333333333
"DIASTOLICBPxMHVASC","DIASTOLICBP","MHVASC",0.0903,2653
"DIASTOLICBPxECOG_C","DIASTOLICBP","ECOG_C",0.002,2965
"DIASTOLICBPxRaceAsian","DIASTOLICBP","RaceAsian",0.574,722.166666666667
"DIASTOLICBPxRaceBlack","DIASTOLICBP","RaceBlack",0.6457,1105.16666666667
"DIASTOLICBPxRaceOther","DIASTOLICBP","RaceOther",0.4589,1557
"DIASTOLICBPxRaceWhite","DIASTOLICBP","RaceWhite",0.7936,1068.33333333333
"DIASTOLICBPxRegionAsia","DIASTOLICBP","RegionAsia",1,445.166666666667
"DIASTOLICBPxRegionEastEuro","DIASTOLICBP","RegionEastEuro",0.0983,2347
"DIASTOLICBPxRegionNorthAmer","DIASTOLICBP","RegionNorthAmer",0.3905,2035
"DIASTOLICBPxRegionSouthAmer","DIASTOLICBP","RegionSouthAmer",0.6501,1349.33333333333
"DIASTOLICBPxRegionWestEuro","DIASTOLICBP","RegionWestEuro",0.471,1633.66666666667
"PULSExTARGET","PULSE","TARGET",0.0034,3159.66666666667
"PULSExLYMPH_NODES","PULSE","LYMPH_NODES",0.1575,2205.33333333333
"PULSExKIDNEYS","PULSE","KIDNEYS",0.5811,1371.16666666667
"PULSExLUNGS","PULSE","LUNGS",0.3493,1099.83333333333
"PULSExLIVER","PULSE","LIVER",3e-04,3160
"PULSExPLEURA","PULSE","PLEURA",0.2202,2216
"PULSExOTHER","PULSE","OTHER",0.6889,1292.5
"PULSExPROSTATE","PULSE","PROSTATE",0.6989,763.833333333333
"PULSExORCHIDECTOMY","PULSE","ORCHIDECTOMY",0.6404,1421.16666666667
"PULSExPROSTATECTOMY","PULSE","PROSTATECTOMY",0.6066,1612.5
"PULSExLYMPHADENECTOMY","PULSE","LYMPHADENECTOMY",0.6316,445.166666666667
"PULSExBILATERAL_ORCHIDECTOMY","PULSE","BILATERAL_ORCHIDECTOMY",0.5369,790.166666666667
"PULSExPRIOR_RADIOTHERAPY","PULSE","PRIOR_RADIOTHERAPY",0.6713,1381.5
"PULSExANALGESICS","PULSE","ANALGESICS",3e-04,3097
"PULSExANTI_ANDROGENS","PULSE","ANTI_ANDROGENS",0.682,1007.33333333333
"PULSExGLUCOCORTICOID","PULSE","GLUCOCORTICOID",0.6905,1835.66666666667
"PULSExGONADOTROPIN","PULSE","GONADOTROPIN",0.6077,1699.83333333333
"PULSExBISPHOSPHONATE","PULSE","BISPHOSPHONATE",0.6812,1591.33333333333
"PULSExCORTICOSTEROID","PULSE","CORTICOSTEROID",0.5245,1743.33333333333
"PULSExIMIDAZOLE","PULSE","IMIDAZOLE",0.571,858.166666666667
"PULSExACE_INHIBITORS","PULSE","ACE_INHIBITORS",0.1539,2348
"PULSExBETA_BLOCKING","PULSE","BETA_BLOCKING",0.7334,719.5
"PULSExHMG_COA_REDUCT","PULSE","HMG_COA_REDUCT",0.7011,1727.66666666667
"PULSExESTROGENS","PULSE","ESTROGENS",0.4898,2472
"PULSExANTI_ESTROGENS","PULSE","ANTI_ESTROGENS",0.5437,1259
"PULSExCEREBACC","PULSE","CEREBACC",0.6098,2164.66666666667
"PULSExCHF","PULSE","CHF",0.3446,2471.66666666667
"PULSExDVT","PULSE","DVT",0.7403,1860.83333333333
"PULSExDIAB","PULSE","DIAB",0.5765,1364.5
"PULSExMI","PULSE","MI",0.091,2242
"PULSExPULMEMB","PULSE","PULMEMB",0.2111,1604.5
"PULSExSPINCOMP","PULSE","SPINCOMP",0.6099,699.833333333333
"PULSExCOPD","PULSE","COPD",0.7278,1336.33333333333
"PULSExMHBLOOD","PULSE","MHBLOOD",0.7038,602.5
"PULSExMHCARD","PULSE","MHCARD",0.1072,2873.66666666667
"PULSExMHCONGEN","PULSE","MHCONGEN",0.5466,1096.66666666667
"PULSExMHEAR","PULSE","MHEAR",0.6872,1824.33333333333
"PULSExMHENDO","PULSE","MHENDO",0.509,1901.66666666667
"PULSExMHGASTRO","PULSE","MHGASTRO",0.7058,1398.83333333333
"PULSExMHHEPATO","PULSE","MHHEPATO",0.7295,1328.66666666667
"PULSExMHIMMUNE","PULSE","MHIMMUNE",0.8525,2092
"PULSExMHINFECT","PULSE","MHINFECT",0.6297,1430
"PULSExMHINJURY","PULSE","MHINJURY",0.7325,1479.5
"PULSExMHINVEST","PULSE","MHINVEST",0.7099,445.166666666667
"PULSExMHMETAB","PULSE","MHMETAB",0.605,1441.83333333333
"PULSExMHPSYCH","PULSE","MHPSYCH",0.2129,2625
"PULSExMHRENAL","PULSE","MHRENAL",0.6863,719.166666666667
"PULSExMHRESP","PULSE","MHRESP",0.4659,1465
"PULSExMHSKIN","PULSE","MHSKIN",0.739,847.5
"PULSExMHVASC","PULSE","MHVASC",0.1836,2536.33333333333
"PULSExECOG_C","PULSE","ECOG_C",1e-04,2995.66666666667
"PULSExRaceAsian","PULSE","RaceAsian",0.5759,1378.33333333333
"PULSExRaceBlack","PULSE","RaceBlack",0.7254,1216.33333333333
"PULSExRaceOther","PULSE","RaceOther",0.5115,871.833333333333
"PULSExRaceWhite","PULSE","RaceWhite",0.5011,1606
"PULSExRegionAsia","PULSE","RegionAsia",1,445.166666666667
"PULSExRegionEastEuro","PULSE","RegionEastEuro",0.0466,2222.33333333333
"PULSExRegionNorthAmer","PULSE","RegionNorthAmer",0.4983,1547.33333333333
"PULSExRegionSouthAmer","PULSE","RegionSouthAmer",0.6515,899.833333333333
"PULSExRegionWestEuro","PULSE","RegionWestEuro",0.5879,754.833333333333
"HEMATxTARGET","HEMAT","TARGET",0.0758,2790.66666666667
"HEMATxLYMPH_NODES","HEMAT","LYMPH_NODES",0.503,1952
"HEMATxKIDNEYS","HEMAT","KIDNEYS",0.6008,526.5
"HEMATxLUNGS","HEMAT","LUNGS",0.5102,954.666666666667
"HEMATxLIVER","HEMAT","LIVER",9e-04,3177.66666666667
"HEMATxPLEURA","HEMAT","PLEURA",0.312,2276
"HEMATxOTHER","HEMAT","OTHER",0.7521,1288.66666666667
"HEMATxPROSTATE","HEMAT","PROSTATE",0.6527,1198.16666666667
"HEMATxORCHIDECTOMY","HEMAT","ORCHIDECTOMY",0.7172,1535.33333333333
"HEMATxPROSTATECTOMY","HEMAT","PROSTATECTOMY",0.4393,2214.66666666667
"HEMATxLYMPHADENECTOMY","HEMAT","LYMPHADENECTOMY",0.5211,1687
"HEMATxBILATERAL_ORCHIDECTOMY","HEMAT","BILATERAL_ORCHIDECTOMY",0.6389,730.5
"HEMATxPRIOR_RADIOTHERAPY","HEMAT","PRIOR_RADIOTHERAPY",0.6956,1512.16666666667
"HEMATxANALGESICS","HEMAT","ANALGESICS",6e-04,3084
"HEMATxANTI_ANDROGENS","HEMAT","ANTI_ANDROGENS",0.224,1801.5
"HEMATxGLUCOCORTICOID","HEMAT","GLUCOCORTICOID",0.5428,1507.33333333333
"HEMATxGONADOTROPIN","HEMAT","GONADOTROPIN",0.0392,2763.33333333333
"HEMATxBISPHOSPHONATE","HEMAT","BISPHOSPHONATE",0.5111,1687
"HEMATxCORTICOSTEROID","HEMAT","CORTICOSTEROID",0.6336,1243.5
"HEMATxIMIDAZOLE","HEMAT","IMIDAZOLE",0.4549,1379.16666666667
"HEMATxACE_INHIBITORS","HEMAT","ACE_INHIBITORS",0.0811,2727.33333333333
"HEMATxBETA_BLOCKING","HEMAT","BETA_BLOCKING",0.7011,1537.66666666667
"HEMATxHMG_COA_REDUCT","HEMAT","HMG_COA_REDUCT",0.6496,1297
"HEMATxESTROGENS","HEMAT","ESTROGENS",0.3347,2437
"HEMATxANTI_ESTROGENS","HEMAT","ANTI_ESTROGENS",0.5662,1285.33333333333
"HEMATxCEREBACC","HEMAT","CEREBACC",0.6229,2177.33333333333
"HEMATxCHF","HEMAT","CHF",0.4253,2570.66666666667
"HEMATxDVT","HEMAT","DVT",0.7707,1436.83333333333
"HEMATxDIAB","HEMAT","DIAB",0.6942,816
"HEMATxMI","HEMAT","MI",0.1052,2212
"HEMATxPULMEMB","HEMAT","PULMEMB",0.3132,1319
"HEMATxSPINCOMP","HEMAT","SPINCOMP",0.7119,612.5
"HEMATxCOPD","HEMAT","COPD",0.7316,2051.66666666667
"HEMATxMHBLOOD","HEMAT","MHBLOOD",0.7728,1354.16666666667
"HEMATxMHCARD","HEMAT","MHCARD",0.2127,1925.66666666667
"HEMATxMHCONGEN","HEMAT","MHCONGEN",0.5515,944.166666666667
"HEMATxMHEAR","HEMAT","MHEAR",0.5889,1835.66666666667
"HEMATxMHENDO","HEMAT","MHENDO",0.4357,2369.66666666667
"HEMATxMHGASTRO","HEMAT","MHGASTRO",0.7088,1220.33333333333
"HEMATxMHHEPATO","HEMAT","MHHEPATO",0.7281,1209
"HEMATxMHIMMUNE","HEMAT","MHIMMUNE",0.8629,1798.66666666667
"HEMATxMHINFECT","HEMAT","MHINFECT",0.6641,1858.66666666667
"HEMATxMHINJURY","HEMAT","MHINJURY",0.7165,1394
"HEMATxMHINVEST","HEMAT","MHINVEST",0.6522,1143.5
"HEMATxMHMETAB","HEMAT","MHMETAB",0.7441,1638.33333333333
"HEMATxMHPSYCH","HEMAT","MHPSYCH",0.3431,1942.33333333333
"HEMATxMHRENAL","HEMAT","MHRENAL",0.7233,1056.83333333333
"HEMATxMHRESP","HEMAT","MHRESP",0.511,1222.66666666667
"HEMATxMHSKIN","HEMAT","MHSKIN",0.724,1017
"HEMATxMHVASC","HEMAT","MHVASC",0.0603,2832.66666666667
"HEMATxECOG_C","HEMAT","ECOG_C",0.0075,3074.66666666667
"HEMATxRaceAsian","HEMAT","RaceAsian",0.5491,850.166666666667
"HEMATxRaceBlack","HEMAT","RaceBlack",0.6418,1077.83333333333
"HEMATxRaceOther","HEMAT","RaceOther",0.5137,1354
"HEMATxRaceWhite","HEMAT","RaceWhite",0.7102,523.166666666667
"HEMATxRegionAsia","HEMAT","RegionAsia",1,445.166666666667
"HEMATxRegionEastEuro","HEMAT","RegionEastEuro",0.0838,2205.33333333333
"HEMATxRegionNorthAmer","HEMAT","RegionNorthAmer",0.3478,1939
"HEMATxRegionSouthAmer","HEMAT","RegionSouthAmer",0.6168,911
"HEMATxRegionWestEuro","HEMAT","RegionWestEuro",0.3337,1558.5
"SPEGRAxTARGET","SPEGRA","TARGET",0.0122,2979.66666666667
"SPEGRAxLYMPH_NODES","SPEGRA","LYMPH_NODES",0.2171,1884.33333333333
"SPEGRAxKIDNEYS","SPEGRA","KIDNEYS",0.5915,944.5
"SPEGRAxLUNGS","SPEGRA","LUNGS",0.3603,1084.16666666667
"SPEGRAxLIVER","SPEGRA","LIVER",5e-04,3165.33333333333
"SPEGRAxPLEURA","SPEGRA","PLEURA",0.2313,1876
"SPEGRAxOTHER","SPEGRA","OTHER",0.6911,792.833333333333
"SPEGRAxPROSTATE","SPEGRA","PROSTATE",0.6962,710.833333333333
"SPEGRAxORCHIDECTOMY","SPEGRA","ORCHIDECTOMY",0.6407,1312.83333333333
"SPEGRAxPROSTATECTOMY","SPEGRA","PROSTATECTOMY",0.5598,1513.16666666667
"SPEGRAxLYMPHADENECTOMY","SPEGRA","LYMPHADENECTOMY",0.6382,445.166666666667
"SPEGRAxBILATERAL_ORCHIDECTOMY","SPEGRA","BILATERAL_ORCHIDECTOMY",0.5522,956.333333333333
"SPEGRAxPRIOR_RADIOTHERAPY","SPEGRA","PRIOR_RADIOTHERAPY",0.6915,1139.5
"SPEGRAxANALGESICS","SPEGRA","ANALGESICS",2e-04,2401.33333333333
"SPEGRAxANTI_ANDROGENS","SPEGRA","ANTI_ANDROGENS",0.6932,850.333333333333
"SPEGRAxGLUCOCORTICOID","SPEGRA","GLUCOCORTICOID",0.7048,1296.66666666667
"SPEGRAxGONADOTROPIN","SPEGRA","GONADOTROPIN",0.4742,1722.5
"SPEGRAxBISPHOSPHONATE","SPEGRA","BISPHOSPHONATE",0.645,1686.66666666667
"SPEGRAxCORTICOSTEROID","SPEGRA","CORTICOSTEROID",0.5336,1669
"SPEGRAxIMIDAZOLE","SPEGRA","IMIDAZOLE",0.5293,864.833333333333
"SPEGRAxACE_INHIBITORS","SPEGRA","ACE_INHIBITORS",0.1498,2047
"SPEGRAxBETA_BLOCKING","SPEGRA","BETA_BLOCKING",0.7294,548.833333333333
"SPEGRAxHMG_COA_REDUCT","SPEGRA","HMG_COA_REDUCT",0.718,1564
"SPEGRAxESTROGENS","SPEGRA","ESTROGENS",0.4237,2548
"SPEGRAxANTI_ESTROGENS","SPEGRA","ANTI_ESTROGENS",0.5604,1197.66666666667
"SPEGRAxCEREBACC","SPEGRA","CEREBACC",0.6369,1910
"SPEGRAxCHF","SPEGRA","CHF",0.3849,2566.66666666667
"SPEGRAxDVT","SPEGRA","DVT",0.7416,1746.16666666667
"SPEGRAxDIAB","SPEGRA","DIAB",0.5914,949.5
"SPEGRAxMI","SPEGRA","MI",0.0701,2616
"SPEGRAxPULMEMB","SPEGRA","PULMEMB",0.2191,1706.83333333333
"SPEGRAxSPINCOMP","SPEGRA","SPINCOMP",0.626,580.833333333333
"SPEGRAxCOPD","SPEGRA","COPD",0.7094,1467.33333333333
"SPEGRAxMHBLOOD","SPEGRA","MHBLOOD",0.6824,651.333333333333
"SPEGRAxMHCARD","SPEGRA","MHCARD",0.1127,2790.66666666667
"SPEGRAxMHCONGEN","SPEGRA","MHCONGEN",0.565,1016.66666666667
"SPEGRAxMHEAR","SPEGRA","MHEAR",0.6652,1570.33333333333
"SPEGRAxMHENDO","SPEGRA","MHENDO",0.5032,1906
"SPEGRAxMHGASTRO","SPEGRA","MHGASTRO",0.679,445.166666666667
"SPEGRAxMHHEPATO","SPEGRA","MHHEPATO",0.7299,854.5
"SPEGRAxMHIMMUNE","SPEGRA","MHIMMUNE",0.8562,1661.66666666667
"SPEGRAxMHINFECT","SPEGRA","MHINFECT",0.6119,1616.33333333333
"SPEGRAxMHINJURY","SPEGRA","MHINJURY",0.7337,1181.5
"SPEGRAxMHINVEST","SPEGRA","MHINVEST",0.7083,921.5
"SPEGRAxMHMETAB","SPEGRA","MHMETAB",0.6042,945.833333333333
"SPEGRAxMHPSYCH","SPEGRA","MHPSYCH",0.1485,2040.33333333333
"SPEGRAxMHRENAL","SPEGRA","MHRENAL",0.6408,445.166666666667
"SPEGRAxMHRESP","SPEGRA","MHRESP",0.4151,1594.66666666667
"SPEGRAxMHSKIN","SPEGRA","MHSKIN",0.7253,445.166666666667
"SPEGRAxMHVASC","SPEGRA","MHVASC",0.1858,1803.66666666667
"SPEGRAxECOG_C","SPEGRA","ECOG_C",3e-04,2920.66666666667
"SPEGRAxRaceAsian","SPEGRA","RaceAsian",0.563,1458.66666666667
"SPEGRAxRaceBlack","SPEGRA","RaceBlack",0.7099,1082
"SPEGRAxRaceOther","SPEGRA","RaceOther",0.5047,1208.16666666667
"SPEGRAxRaceWhite","SPEGRA","RaceWhite",0.5297,1030.83333333333
"SPEGRAxRegionAsia","SPEGRA","RegionAsia",1,445.166666666667
"SPEGRAxRegionEastEuro","SPEGRA","RegionEastEuro",0.0503,2462.66666666667
"SPEGRAxRegionNorthAmer","SPEGRA","RegionNorthAmer",0.4871,1570
"SPEGRAxRegionSouthAmer","SPEGRA","RegionSouthAmer",0.6482,828.5
"SPEGRAxRegionWestEuro","SPEGRA","RegionWestEuro",0.5601,752.166666666667
"LYMperLEUxTARGET","LYMperLEU","TARGET",0.4551,853.5
"LYMperLEUxLYMPH_NODES","LYMperLEU","LYMPH_NODES",0.74,1257.16666666667
"LYMperLEUxKIDNEYS","LYMperLEU","KIDNEYS",0.7124,893
"LYMperLEUxLUNGS","LYMperLEU","LUNGS",0.5218,1262.5
"LYMperLEUxLIVER","LYMperLEU","LIVER",0.0286,2631
"LYMperLEUxPLEURA","LYMperLEU","PLEURA",0.481,1518
"LYMperLEUxOTHER","LYMperLEU","OTHER",0.8056,1599.66666666667
"LYMperLEUxPROSTATE","LYMperLEU","PROSTATE",0.6472,1003.33333333333
"LYMperLEUxORCHIDECTOMY","LYMperLEU","ORCHIDECTOMY",0.7617,1436.33333333333
"LYMperLEUxPROSTATECTOMY","LYMperLEU","PROSTATECTOMY",0.2812,2634.66666666667
"LYMperLEUxLYMPHADENECTOMY","LYMperLEU","LYMPHADENECTOMY",0.5455,1122.33333333333
"LYMperLEUxBILATERAL_ORCHIDECTOMY","LYMperLEU","BILATERAL_ORCHIDECTOMY",0.741,1709.33333333333
"LYMperLEUxPRIOR_RADIOTHERAPY","LYMperLEU","PRIOR_RADIOTHERAPY",0.472,2742.66666666667
"LYMperLEUxANALGESICS","LYMperLEU","ANALGESICS",0.0018,2709.33333333333
"LYMperLEUxANTI_ANDROGENS","LYMperLEU","ANTI_ANDROGENS",0.1948,2271
"LYMperLEUxGLUCOCORTICOID","LYMperLEU","GLUCOCORTICOID",0.6927,1086.66666666667
"LYMperLEUxGONADOTROPIN","LYMperLEU","GONADOTROPIN",0.0683,2443
"LYMperLEUxBISPHOSPHONATE","LYMperLEU","BISPHOSPHONATE",0.6715,2304
"LYMperLEUxCORTICOSTEROID","LYMperLEU","CORTICOSTEROID",0.5845,2177
"LYMperLEUxIMIDAZOLE","LYMperLEU","IMIDAZOLE",0.5929,996.666666666667
"LYMperLEUxACE_INHIBITORS","LYMperLEU","ACE_INHIBITORS",0.0757,2635.66666666667
"LYMperLEUxBETA_BLOCKING","LYMperLEU","BETA_BLOCKING",0.6452,1629.66666666667
"LYMperLEUxHMG_COA_REDUCT","LYMperLEU","HMG_COA_REDUCT",0.6365,882
"LYMperLEUxESTROGENS","LYMperLEU","ESTROGENS",0.2199,3013.66666666667
"LYMperLEUxANTI_ESTROGENS","LYMperLEU","ANTI_ESTROGENS",0.5511,1282.66666666667
"LYMperLEUxCEREBACC","LYMperLEU","CEREBACC",0.6532,1692.16666666667
"LYMperLEUxCHF","LYMperLEU","CHF",0.6298,2050
"LYMperLEUxDVT","LYMperLEU","DVT",0.7011,1279
"LYMperLEUxDIAB","LYMperLEU","DIAB",0.6118,2316.33333333333
"LYMperLEUxMI","LYMperLEU","MI",0.0809,2655.33333333333
"LYMperLEUxPULMEMB","LYMperLEU","PULMEMB",0.2369,1814
"LYMperLEUxSPINCOMP","LYMperLEU","SPINCOMP",0.8127,1269.66666666667
"LYMperLEUxCOPD","LYMperLEU","COPD",0.7006,1861
"LYMperLEUxMHBLOOD","LYMperLEU","MHBLOOD",0.7684,1245.33333333333
"LYMperLEUxMHCARD","LYMperLEU","MHCARD",0.2234,2116.33333333333
"LYMperLEUxMHCONGEN","LYMperLEU","MHCONGEN",0.5278,445.166666666667
"LYMperLEUxMHEAR","LYMperLEU","MHEAR",0.611,2054.33333333333
"LYMperLEUxMHENDO","LYMperLEU","MHENDO",0.435,2154.66666666667
"LYMperLEUxMHGASTRO","LYMperLEU","MHGASTRO",0.5732,1973
"LYMperLEUxMHHEPATO","LYMperLEU","MHHEPATO",0.7002,1630.5
"LYMperLEUxMHIMMUNE","LYMperLEU","MHIMMUNE",0.7714,1469.5
"LYMperLEUxMHINFECT","LYMperLEU","MHINFECT",0.6911,1565.33333333333
"LYMperLEUxMHINJURY","LYMperLEU","MHINJURY",0.7302,1310.33333333333
"LYMperLEUxMHINVEST","LYMperLEU","MHINVEST",0.5247,2250
"LYMperLEUxMHMETAB","LYMperLEU","MHMETAB",0.7379,1673.16666666667
"LYMperLEUxMHPSYCH","LYMperLEU","MHPSYCH",0.1752,2379
"LYMperLEUxMHRENAL","LYMperLEU","MHRENAL",0.6989,1061.5
"LYMperLEUxMHRESP","LYMperLEU","MHRESP",0.213,3013
"LYMperLEUxMHSKIN","LYMperLEU","MHSKIN",0.7376,1832.66666666667
"LYMperLEUxMHVASC","LYMperLEU","MHVASC",0.0334,2629
"LYMperLEUxECOG_C","LYMperLEU","ECOG_C",0.0221,2302.33333333333
"LYMperLEUxRaceAsian","LYMperLEU","RaceAsian",0.6301,487.833333333333
"LYMperLEUxRaceBlack","LYMperLEU","RaceBlack",0.747,1784
"LYMperLEUxRaceOther","LYMperLEU","RaceOther",0.336,2369.33333333333
"LYMperLEUxRaceWhite","LYMperLEU","RaceWhite",0.5163,1556.66666666667
"LYMperLEUxRegionAsia","LYMperLEU","RegionAsia",1,445.166666666667
"LYMperLEUxRegionEastEuro","LYMperLEU","RegionEastEuro",0.0737,3039
"LYMperLEUxRegionNorthAmer","LYMperLEU","RegionNorthAmer",0.5509,1979
"LYMperLEUxRegionSouthAmer","LYMperLEU","RegionSouthAmer",0.5235,1592.66666666667
"LYMperLEUxRegionWestEuro","LYMperLEU","RegionWestEuro",0.197,1955.5
"MONOxTARGET","MONO","TARGET",0.0143,2317
"MONOxLYMPH_NODES","MONO","LYMPH_NODES",0.1714,1272.5
"MONOxKIDNEYS","MONO","KIDNEYS",0.6273,809.5
"MONOxLUNGS","MONO","LUNGS",0.3095,2286
"MONOxLIVER","MONO","LIVER",5e-04,3157
"MONOxPLEURA","MONO","PLEURA",0.4238,1849.66666666667
"MONOxOTHER","MONO","OTHER",0.7351,733.833333333333
"MONOxPROSTATE","MONO","PROSTATE",0.7129,1365.16666666667
"MONOxORCHIDECTOMY","MONO","ORCHIDECTOMY",0.6598,650.5
"MONOxPROSTATECTOMY","MONO","PROSTATECTOMY",0.6513,1554.33333333333
"MONOxLYMPHADENECTOMY","MONO","LYMPHADENECTOMY",0.6718,1389.33333333333
"MONOxBILATERAL_ORCHIDECTOMY","MONO","BILATERAL_ORCHIDECTOMY",0.574,1019.83333333333
"MONOxPRIOR_RADIOTHERAPY","MONO","PRIOR_RADIOTHERAPY",0.6825,1256.5
"MONOxANALGESICS","MONO","ANALGESICS",4e-04,2710
"MONOxANTI_ANDROGENS","MONO","ANTI_ANDROGENS",0.575,1782.33333333333
"MONOxGLUCOCORTICOID","MONO","GLUCOCORTICOID",0.78,1243.16666666667
"MONOxGONADOTROPIN","MONO","GONADOTROPIN",0.8195,1069.83333333333
"MONOxBISPHOSPHONATE","MONO","BISPHOSPHONATE",0.7332,2194.66666666667
"MONOxCORTICOSTEROID","MONO","CORTICOSTEROID",0.4986,1808
"MONOxIMIDAZOLE","MONO","IMIDAZOLE",0.7099,1063.5
"MONOxACE_INHIBITORS","MONO","ACE_INHIBITORS",0.3876,2103
"MONOxBETA_BLOCKING","MONO","BETA_BLOCKING",0.7233,834
"MONOxHMG_COA_REDUCT","MONO","HMG_COA_REDUCT",0.7237,1814.83333333333
"MONOxESTROGENS","MONO","ESTROGENS",0.6609,1604
"MONOxANTI_ESTROGENS","MONO","ANTI_ESTROGENS",0.6059,1766.66666666667
"MONOxCEREBACC","MONO","CEREBACC",0.7033,1470.66666666667
"MONOxCHF","MONO","CHF",0.481,2434.33333333333
"MONOxDVT","MONO","DVT",0.7182,2452.66666666667
"MONOxDIAB","MONO","DIAB",0.2826,2889
"MONOxMI","MONO","MI",0.0895,2760.66666666667
"MONOxPULMEMB","MONO","PULMEMB",0.2428,2160.33333333333
"MONOxSPINCOMP","MONO","SPINCOMP",0.5653,1530
"MONOxCOPD","MONO","COPD",0.6603,2197
"MONOxMHBLOOD","MONO","MHBLOOD",0.7722,1862.33333333333
"MONOxMHCARD","MONO","MHCARD",0.0589,3103.66666666667
"MONOxMHCONGEN","MONO","MHCONGEN",0.6287,744.5
"MONOxMHEAR","MONO","MHEAR",0.7048,1717.16666666667
"MONOxMHENDO","MONO","MHENDO",0.7484,1580.16666666667
"MONOxMHGASTRO","MONO","MHGASTRO",0.6702,1659.66666666667
"MONOxMHHEPATO","MONO","MHHEPATO",0.7694,1750.66666666667
"MONOxMHIMMUNE","MONO","MHIMMUNE",0.8585,1319.66666666667
"MONOxMHINFECT","MONO","MHINFECT",0.5215,1922.5
"MONOxMHINJURY","MONO","MHINJURY",0.7584,1867.5
"MONOxMHINVEST","MONO","MHINVEST",0.6972,1937.33333333333
"MONOxMHMETAB","MONO","MHMETAB",0.4328,1694.33333333333
"MONOxMHPSYCH","MONO","MHPSYCH",0.0559,3088
"MONOxMHRENAL","MONO","MHRENAL",0.5656,2036.33333333333
"MONOxMHRESP","MONO","MHRESP",0.4522,2295.33333333333
"MONOxMHSKIN","MONO","MHSKIN",0.7336,999.166666666667
"MONOxMHVASC","MONO","MHVASC",0.5319,1156.16666666667
"MONOxECOG_C","MONO","ECOG_C",0,3202.33333333333
"MONOxRaceAsian","MONO","RaceAsian",0.6367,737.833333333333
"MONOxRaceBlack","MONO","RaceBlack",0.7315,1440.83333333333
"MONOxRaceOther","MONO","RaceOther",0.5753,2149.33333333333
"MONOxRaceWhite","MONO","RaceWhite",0.3978,1086.83333333333
"MONOxRegionAsia","MONO","RegionAsia",1,445.166666666667
"MONOxRegionEastEuro","MONO","RegionEastEuro",0.0649,2189.66666666667
"MONOxRegionNorthAmer","MONO","RegionNorthAmer",0.6315,1420.16666666667
"MONOxRegionSouthAmer","MONO","RegionSouthAmer",0.6305,1875.33333333333
"MONOxRegionWestEuro","MONO","RegionWestEuro",0.6981,786.666666666667
"MONOperLEUxTARGET","MONOperLEU","TARGET",0.0502,2437.33333333333
"MONOperLEUxLYMPH_NODES","MONOperLEU","LYMPH_NODES",0.2506,2089.66666666667
"MONOperLEUxKIDNEYS","MONOperLEU","KIDNEYS",0.5917,2232.66666666667
"MONOperLEUxLUNGS","MONOperLEU","LUNGS",0.3674,1584.66666666667
"MONOperLEUxLIVER","MONOperLEU","LIVER",0.0039,2852.33333333333
"MONOperLEUxPLEURA","MONOperLEU","PLEURA",0.402,1384.16666666667
